Index;delivery_id;delivery_partner;package_type;vehicle_type;delivery_mode;region;weather_condition;distance_km;package_weight_kg;delivery_date;expected_time_hours;delayed;delivery_status;delivery_rating;delivery_cost
561;DLV-00561;fedex;furniture;bike;express;north;hot;76.0;1.33;28/02/2024;4;yes;delayed;3;433.99
562;DLV-00562;delhivery;electronics;truck;standard;east;clear;275.5;21.81;20/12/2024;5;no;delivered;3;1442.93
563;DLV-00563;fedex;groceries;scooter;same day;north;foggy;208.8;14.1;01/12/2024;7;no;delivered;5;1186.3
564;DLV-00564;blue dart;cosmetics;ev van;standard;north;clear;187.7;12.85;02/02/2024;6;no;delivered;4;977.05
565;DLV-00565;ecom express;pharmacy;van;standard;east;rainy;194.5;17.97;07/12/2024;7;no;delivered;4;1026.41
566;DLV-00566;ekart;pharmacy;scooter;two day;east;cold;124.6;46.32;16/10/2024;4;no;delivered;4;761.96
567;DLV-00567;ekart;furniture;truck;express;central;hot;236.5;21.26;05/09/2024;7;yes;delayed;2;1296.28
568;DLV-00568;ekart;furniture;bike;standard;south;cold;224.0;12.79;31/07/2024;4;no;delivered;3;1158.37
569;DLV-00569;shadowfax;automobile parts;bike;two day;west;foggy;131.4;31.39;25/02/2024;5;no;delivered;5;751.17
570;DLV-00570;shadowfax;pharmacy;van;same day;north;rainy;44.9;39.49;04/01/2024;6;no;delivered;3;442.97
571;DLV-00571;ecom express;pharmacy;truck;same day;east;foggy;30.1;5.97;24/01/2024;3;no;delivered;3;268.41
572;DLV-00572;dhl;groceries;truck;same day;central;rainy;238.7;25.81;26/12/2024;6;no;delivered;3;1370.93
573;DLV-00573;ekart;furniture;bike;express;south;cold;211.1;39.72;08/10/2024;7;yes;delayed;3;1224.66
574;DLV-00574;delhivery;cosmetics;ev bike;two day;north;stormy;135.5;11.75;10/02/2024;11;no;delivered;5;712.75
575;DLV-00575;delhivery;fragile items;bike;express;east;clear;41.7;27.97;11/10/2024;0;no;delivered;5;342.41
576;DLV-00576;dhl;fragile items;ev bike;same day;north;rainy;232.2;1.33;10/10/2024;9;yes;delayed;3;1264.99
577;DLV-00577;ecom express;pharmacy;bike;two day;west;foggy;108.4;17.23;27/01/2024;3;no;delivered;5;593.69
578;DLV-00578;fedex;fragile items;bike;two day;south;hot;233.2;23.35;09/08/2024;10;no;delivered;4;1236.05
579;DLV-00579;ecom express;electronics;truck;same day;west;cold;210.1;26.19;07/03/2024;8;yes;delayed;2;1229.07
580;DLV-00580;delhivery;documents;ev bike;standard;west;rainy;279.1;33.92;16/10/2024;8;no;delivered;3;1497.26
581;DLV-00581;delhivery;documents;ev bike;standard;central;hot;21.3;40.93;19/04/2024;3;no;delivered;4;229.29
582;DLV-00582;amazon logistics;pharmacy;truck;express;north;hot;193.4;35.8;12/01/2024;9;yes;delayed;2;1124.4
583;DLV-00583;delhivery;cosmetics;scooter;same day;central;hot;238.0;1.23;29/12/2024;8;yes;delayed;3;1293.69
584;DLV-00584;delhivery;clothing;ev van;standard;south;rainy;88.2;14.24;18/03/2024;8;no;delivered;4;483.72
585;DLV-00585;dhl;clothing;bike;express;north;foggy;221.3;44.63;22/11/2024;7;yes;failed;2;1290.39
586;DLV-00586;ecom express;furniture;van;express;central;clear;90.0;39.19;15/10/2024;3;yes;delayed;3;617.57
587;DLV-00587;xpressbees;automobile parts;ev bike;express;east;stormy;190.9;46.65;10/04/2024;10;yes;delayed;2;1144.45
588;DLV-00588;delhivery;electronics;truck;same day;east;foggy;204.5;19.11;15/02/2024;11;yes;failed;2;1179.83
589;DLV-00589;amazon logistics;fragile items;ev bike;express;south;foggy;268.6;42.34;17/04/2024;11;yes;delayed;3;1520.02
590;DLV-00590;amazon logistics;clothing;ev bike;same day;north;clear;285.3;28.83;01/10/2024;6;no;delivered;3;1612.99
591;DLV-00591;amazon logistics;documents;ev van;express;north;cold;297.1;26.18;22/09/2024;13;yes;delayed;2;1624.04
592;DLV-00592;ecom express;pharmacy;truck;two day;central;stormy;208.5;48.54;13/12/2024;9;no;delivered;5;1188.12
593;DLV-00593;ekart;cosmetics;ev bike;express;north;rainy;174.1;24.05;29/09/2024;13;yes;delayed;3;992.65
594;DLV-00594;ecom express;fragile items;bike;two day;east;clear;205.2;28.19;19/03/2024;5;no;delivered;3;1110.57
595;DLV-00595;ekart;electronics;scooter;two day;south;foggy;224.4;36.19;20/03/2024;6;no;delivered;5;1230.57
596;DLV-00596;amazon logistics;electronics;bike;express;central;clear;244.9;34.83;15/04/2024;11;yes;delayed;3;1378.99
597;DLV-00597;shadowfax;furniture;scooter;express;west;rainy;88.0;12.14;30/08/2024;6;yes;delayed;2;526.42
598;DLV-00598;amazon logistics;pharmacy;bike;same day;north;hot;213.0;14.1;08/06/2024;9;yes;delayed;3;1207.3
599;DLV-00599;shadowfax;documents;ev bike;express;north;clear;58.4;2.3;01/04/2024;1;no;delivered;3;348.9
600;DLV-00600;shadowfax;pharmacy;van;same day;north;stormy;31.8;21.85;29/08/2024;4;no;delivered;3;324.55
601;DLV-00601;shadowfax;documents;van;express;west;hot;238.2;29.75;19/09/2024;5;no;delivered;4;1330.25
602;DLV-00602;amazon logistics;automobile parts;truck;two day;north;stormy;174.5;18.6;24/12/2024;13;no;delivered;4;928.3
603;DLV-00603;xpressbees;clothing;van;same day;south;clear;143.3;28.17;23/04/2024;7;no;delivered;5;901.01
604;DLV-00604;blue dart;pharmacy;truck;standard;east;rainy;120.1;4.21;04/12/2024;6;no;delivered;5;613.13
605;DLV-00605;amazon logistics;furniture;bike;standard;north;rainy;77.4;24.17;13/12/2024;5;no;delivered;4;459.51
606;DLV-00606;fedex;electronics;ev bike;same day;south;cold;176.3;30.71;01/07/2024;3;no;delivered;4;1073.63
607;DLV-00607;ekart;pharmacy;ev van;express;south;hot;26.5;35.2;03/08/2024;2;yes;delayed;3;288.1
608;DLV-00608;fedex;clothing;bike;express;east;cold;209.3;30.24;23/12/2024;5;no;delivered;5;1187.22
609;DLV-00609;ecom express;furniture;bike;same day;north;clear;146.8;18.36;05/02/2024;6;no;delivered;4;889.08
610;DLV-00610;amazon logistics;pharmacy;bike;express;south;foggy;189.5;44.41;29/09/2024;5;yes;delayed;2;1130.73
611;DLV-00611;amazon logistics;electronics;truck;two day;east;foggy;10.4;41.55;27/02/2024;3;no;delivered;4;176.65
612;DLV-00612;fedex;clothing;ev bike;same day;east;hot;112.9;49.52;07/07/2024;4;no;delivered;4;813.51
613;DLV-00613;amazon logistics;documents;ev bike;express;central;clear;120.5;0.67;29/09/2024;4;yes;failed;2;654.48
614;DLV-00614;dhl;automobile parts;ev bike;express;south;hot;173.8;3.23;21/10/2024;5;no;delivered;5;928.69
615;DLV-00615;xpressbees;clothing;truck;express;south;foggy;270.7;33.32;03/12/2024;11;yes;delayed;2;1503.46
616;DLV-00616;shadowfax;automobile parts;ev bike;standard;north;cold;215.3;27.73;19/03/2024;8;no;delivered;3;1159.69
617;DLV-00617;ekart;furniture;scooter;standard;west;rainy;242.0;15.23;15/07/2024;11;no;delivered;3;1255.69
618;DLV-00618;ekart;automobile parts;ev bike;two day;east;cold;227.9;3.54;14/08/2024;8;no;delivered;4;1150.12
619;DLV-00619;delhivery;fragile items;scooter;two day;north;cold;59.5;3.06;07/07/2024;3;no;delivered;5;306.68
620;DLV-00620;blue dart;documents;ev van;standard;central;foggy;154.5;38.51;09/04/2024;6;no;delivered;5;888.03
621;DLV-00621;dhl;pharmacy;bike;same day;central;cold;220.8;23.0;11/04/2024;6;no;delivered;3;1273.0
622;DLV-00622;fedex;cosmetics;ev van;express;central;foggy;161.2;28.2;11/09/2024;5;yes;delayed;2;940.6
623;DLV-00623;blue dart;electronics;van;same day;west;stormy;284.9;14.76;24/03/2024;15;yes;delayed;3;1568.78
624;DLV-00624;dhl;pharmacy;truck;same day;north;cold;155.9;10.86;11/10/2024;7;no;delivered;5;912.08
625;DLV-00625;shadowfax;furniture;bike;two day;central;rainy;164.8;33.5;30/07/2024;11;no;delivered;5;924.5
626;DLV-00626;ekart;electronics;scooter;same day;east;foggy;36.8;5.67;25/05/2024;5;no;delivered;3;301.01
627;DLV-00627;dhl;fragile items;ev van;standard;central;clear;24.7;47.66;15/08/2024;1;no;delivered;5;266.48
628;DLV-00628;dhl;documents;bike;same day;south;stormy;18.6;16.18;25/03/2024;8;yes;delayed;3;241.54
629;DLV-00629;fedex;fragile items;scooter;two day;west;rainy;45.7;42.7;27/07/2024;5;no;delivered;3;356.6
630;DLV-00630;dhl;clothing;truck;two day;east;clear;201.9;26.33;26/03/2024;9;no;delivered;4;1088.49
631;DLV-00631;xpressbees;furniture;ev bike;same day;east;cold;54.3;42.41;22/06/2024;1;no;delivered;3;498.73
632;DLV-00632;ekart;groceries;van;express;south;rainy;33.3;40.66;04/04/2024;8;yes;delayed;2;338.48
633;DLV-00633;dhl;automobile parts;bike;same day;north;hot;184.2;42.49;02/03/2024;6;no;delivered;5;1148.47
634;DLV-00634;dhl;automobile parts;bike;standard;central;clear;257.6;14.39;18/09/2024;7;no;delivered;5;1331.17
635;DLV-00635;blue dart;cosmetics;ev van;same day;west;rainy;10.9;8.39;30/11/2024;6;no;delivered;4;179.67
636;DLV-00636;xpressbees;fragile items;scooter;standard;central;clear;152.3;35.01;18/05/2024;5;no;delivered;5;866.53
637;DLV-00637;ekart;cosmetics;truck;express;east;hot;58.3;15.38;26/11/2024;3;yes;delayed;2;387.64
638;DLV-00638;ekart;documents;ev van;same day;south;foggy;274.4;15.8;16/07/2024;9;yes;delayed;2;1519.4
639;DLV-00639;amazon logistics;automobile parts;van;express;west;cold;126.1;12.09;21/02/2024;4;yes;delayed;2;716.77
640;DLV-00640;ecom express;furniture;bike;express;south;stormy;194.5;38.62;09/08/2024;9;yes;failed;2;1138.36
641;DLV-00641;xpressbees;groceries;ev bike;same day;central;rainy;131.0;41.66;09/09/2024;8;yes;delayed;2;879.98
642;DLV-00642;ecom express;clothing;ev bike;two day;east;hot;245.5;1.32;18/08/2024;4;no;delivered;4;1231.46
643;DLV-00643;amazon logistics;cosmetics;truck;two day;west;cold;148.3;46.62;15/07/2024;5;no;delivered;4;881.36
644;DLV-00644;fedex;documents;ev van;same day;west;stormy;283.8;36.41;04/05/2024;10;yes;delayed;3;1628.23
645;DLV-00645;xpressbees;pharmacy;ev bike;same day;south;hot;108.3;11.01;15/11/2024;3;no;delivered;5;674.53
646;DLV-00646;ekart;electronics;ev bike;express;west;hot;216.7;34.71;15/03/2024;6;yes;delayed;2;1237.63
647;DLV-00647;fedex;pharmacy;van;two day;east;clear;27.5;28.6;12/09/2024;3;no;delivered;5;223.3
648;DLV-00648;fedex;pharmacy;bike;two day;north;rainy;49.5;45.9;23/04/2024;5;no;delivered;4;385.2
649;DLV-00649;ecom express;furniture;ev bike;standard;east;hot;159.4;34.66;05/10/2024;8;no;delivered;4;900.98
650;DLV-00650;amazon logistics;pharmacy;ev van;two day;north;hot;78.5;21.57;24/02/2024;1;no;delivered;4;457.21
651;DLV-00651;fedex;automobile parts;ev bike;standard;west;rainy;18.6;8.03;25/04/2024;5;no;delivered;3;117.09
652;DLV-00652;shadowfax;fragile items;truck;same day;west;clear;75.1;39.81;15/03/2024;1;no;delivered;5;594.93
653;DLV-00653;blue dart;groceries;ev bike;express;central;stormy;82.0;48.56;22/12/2024;8;yes;delayed;2;605.68
654;DLV-00654;amazon logistics;fragile items;scooter;same day;east;rainy;187.3;39.79;31/08/2024;10;yes;failed;2;1155.87
655;DLV-00655;fedex;automobile parts;bike;two day;central;clear;50.7;35.66;10/10/2024;1;no;delivered;3;360.48
656;DLV-00656;fedex;clothing;truck;standard;west;foggy;278.6;44.89;19/07/2024;7;no;delivered;5;1527.67
657;DLV-00657;xpressbees;groceries;ev van;standard;south;rainy;86.8;35.72;05/01/2024;7;no;delivered;5;541.16
658;DLV-00658;shadowfax;cosmetics;bike;same day;south;cold;289.1;48.46;21/05/2024;7;no;delivered;3;1632.7205999999999
659;DLV-00659;delhivery;furniture;bike;two day;central;hot;127.6;23.54;01/10/2024;5;no;delivered;5;708.62
660;DLV-00660;ekart;clothing;ev bike;standard;north;clear;219.9;36.7;02/09/2024;8;no;delivered;4;1209.6
661;DLV-00661;blue dart;furniture;van;express;north;cold;203.8;29.18;03/07/2024;5;no;delivered;4;1156.54
662;DLV-00662;xpressbees;groceries;ev van;same day;north;rainy;85.0;7.01;15/02/2024;6;no;delivered;4;546.03
663;DLV-00663;delhivery;cosmetics;van;standard;west;clear;133.6;12.74;04/03/2024;3;no;delivered;4;706.22
664;DLV-00664;blue dart;furniture;truck;two day;west;clear;69.6;18.65;02/07/2024;2;no;delivered;4;403.95
665;DLV-00665;shadowfax;clothing;bike;same day;east;foggy;265.5;12.16;19/06/2024;7;no;delivered;5;1463.98
666;DLV-00666;xpressbees;electronics;ev van;same day;east;foggy;266.0;4.54;21/03/2024;6;no;delivered;4;1443.62
667;DLV-00667;fedex;documents;scooter;standard;north;cold;108.6;0.67;12/06/2024;4;no;delivered;4;543.87
668;DLV-00668;amazon logistics;clothing;van;standard;north;rainy;123.2;19.69;24/02/2024;6;no;delivered;4;675.07
669;DLV-00669;ecom express;fragile items;truck;standard;west;hot;91.5;8.18;15/06/2024;2;no;delivered;5;482.04
670;DLV-00670;blue dart;documents;ev van;standard;south;clear;90.4;49.17;29/07/2024;6;no;delivered;5;599.51
671;DLV-00671;ecom express;pharmacy;ev bike;same day;central;hot;27.2;24.1;09/10/2024;1;no;delivered;5;308.3
672;DLV-00672;shadowfax;clothing;ev bike;two day;central;foggy;192.3;42.09;08/12/2024;6;no;delivered;4;1087.77
673;DLV-00673;shadowfax;groceries;bike;two day;west;stormy;230.7;24.59;29/10/2024;9;no;delivered;5;1227.27
674;DLV-00674;delhivery;automobile parts;bike;standard;east;foggy;102.9;22.95;15/07/2024;4;no;delivered;4;583.35
675;DLV-00675;shadowfax;pharmacy;ev bike;standard;south;hot;151.0;36.41;27/12/2024;5;no;delivered;5;864.23
676;DLV-00676;xpressbees;documents;ev van;same day;central;stormy;7.6;44.72;20/07/2024;4;no;delivered;3;272.16
677;DLV-00677;shadowfax;cosmetics;truck;two day;north;foggy;189.4;15.57;18/10/2024;5;no;delivered;5;993.71
678;DLV-00678;delhivery;furniture;ev van;two day;central;cold;98.2;17.52;13/11/2024;3;no;delivered;5;543.56
679;DLV-00679;fedex;documents;scooter;same day;central;clear;45.2;39.94;29/12/2024;1;no;delivered;3;445.82
680;DLV-00680;ecom express;automobile parts;van;express;north;cold;4.3;11.48;25/11/2024;2;yes;delayed;2;105.94
681;DLV-00681;xpressbees;automobile parts;scooter;express;south;stormy;128.7;49.08;20/08/2024;9;yes;failed;1;840.74
682;DLV-00682;blue dart;pharmacy;ev bike;same day;central;clear;201.3;38.39;09/07/2024;5;no;delivered;3;1221.67
683;DLV-00683;ecom express;electronics;ev bike;two day;west;foggy;72.8;19.45;25/11/2024;3;no;delivered;4;422.35
684;DLV-00684;ecom express;groceries;scooter;standard;south;foggy;51.2;7.03;01/08/2024;5;no;delivered;5;277.09
685;DLV-00685;blue dart;furniture;ev van;two day;central;clear;184.3;36.7;19/04/2024;6;no;delivered;5;1031.6
686;DLV-00686;amazon logistics;automobile parts;bike;same day;west;cold;178.5;21.49;24/05/2024;5;no;delivered;3;1056.97
687;DLV-00687;dhl;cosmetics;ev bike;standard;central;cold;92.2;31.78;28/06/2024;2;no;delivered;5;556.34
688;DLV-00688;shadowfax;documents;scooter;standard;east;stormy;255.4;6.05;24/12/2024;13;no;delivered;4;1295.15
689;DLV-00689;fedex;furniture;ev bike;express;east;clear;179.5;3.02;18/03/2024;6;yes;failed;2;956.56
690;DLV-00690;amazon logistics;clothing;van;express;west;foggy;244.8;12.17;19/05/2024;10;yes;delayed;2;1310.51
691;DLV-00691;ecom express;furniture;scooter;standard;north;hot;277.2;19.29;22/05/2024;11;no;delivered;5;1443.87
692;DLV-00692;amazon logistics;furniture;bike;express;west;foggy;202.9;11.53;21/07/2024;9;yes;delayed;2;1099.09
693;DLV-00693;ecom express;furniture;truck;standard;west;stormy;88.4;15.55;04/04/2024;8;no;delivered;5;488.65
694;DLV-00694;ecom express;groceries;bike;two day;north;cold;203.5;40.81;27/03/2024;4;no;delivered;5;1139.93
695;DLV-00695;delhivery;groceries;van;standard;central;rainy;126.9;4.38;24/09/2024;8;no;delivered;5;647.64
696;DLV-00696;ekart;fragile items;ev van;same day;east;cold;55.2;26.94;23/06/2024;3;no;delivered;3;456.82
697;DLV-00697;xpressbees;furniture;ev van;express;east;cold;53.1;19.52;18/07/2024;1;no;delivered;4;374.06
698;DLV-00698;shadowfax;electronics;van;two day;south;rainy;46.9;16.68;13/08/2024;6;no;delivered;4;284.54
699;DLV-00699;delhivery;cosmetics;ev bike;express;central;cold;140.0;24.7;16/05/2024;6;yes;delayed;3;824.1
700;DLV-00700;delhivery;pharmacy;ev bike;same day;north;rainy;178.7;47.02;30/01/2024;11;yes;delayed;2;1134.56
701;DLV-00701;fedex;cosmetics;truck;express;central;hot;292.4;37.37;12/01/2024;11;yes;delayed;3;1624.11
702;DLV-00702;shadowfax;cosmetics;scooter;two day;east;hot;202.3;32.24;08/04/2024;9;no;delivered;5;1108.22
703;DLV-00703;blue dart;clothing;ev bike;same day;south;cold;70.4;47.88;25/08/2024;4;no;delivered;5;595.64
704;DLV-00704;blue dart;automobile parts;bike;same day;west;clear;250.7;18.3;30/11/2024;6;no;delivered;4;1408.4
705;DLV-00705;blue dart;automobile parts;truck;express;west;stormy;295.2;37.22;29/06/2024;11;yes;delayed;3;1632.7205999999999
706;DLV-00706;shadowfax;clothing;ev bike;express;south;cold;124.5;8.89;18/12/2024;5;yes;delayed;3;699.17
707;DLV-00707;delhivery;clothing;truck;express;central;clear;264.2;3.33;18/01/2024;10;yes;failed;2;1380.99
708;DLV-00708;shadowfax;documents;van;same day;north;clear;223.5;27.05;10/06/2024;8;yes;failed;1;1298.65
709;DLV-00709;fedex;automobile parts;van;express;north;clear;95.5;37.96;14/02/2024;2;no;delivered;3;641.38
710;DLV-00710;fedex;automobile parts;van;express;central;foggy;3.6;33.01;14/01/2024;1;no;delivered;4;164.03
711;DLV-00711;xpressbees;documents;ev bike;express;west;stormy;209.8;18.65;21/07/2024;7;yes;delayed;2;1154.95
712;DLV-00712;fedex;pharmacy;ev van;two day;east;hot;289.6;45.72;21/01/2024;9;no;delivered;5;1585.16
713;DLV-00713;xpressbees;documents;ev bike;express;south;foggy;41.5;17.76;24/10/2024;2;no;delivered;5;310.78
714;DLV-00714;xpressbees;electronics;scooter;two day;west;cold;274.6;19.84;03/04/2024;8;no;delivered;4;1432.52
715;DLV-00715;ecom express;documents;bike;same day;west;clear;62.9;7.63;08/12/2024;4;no;delivered;5;437.39
716;DLV-00716;amazon logistics;electronics;van;standard;north;stormy;162.9;45.79;18/12/2024;9;no;delivered;5;951.87
717;DLV-00717;fedex;fragile items;ev van;same day;east;foggy;166.2;4.5;07/11/2024;7;no;delivered;4;944.5
718;DLV-00718;fedex;fragile items;truck;two day;west;stormy;67.0;35.17;02/11/2024;6;no;delivered;4;440.51
719;DLV-00719;ekart;clothing;scooter;two day;east;stormy;8.2;13.95;28/07/2024;4;no;delivered;4;95.6674
720;DLV-00720;shadowfax;pharmacy;bike;standard;west;hot;52.9;18.1;12/03/2024;2;no;delivered;5;318.8
721;DLV-00721;blue dart;clothing;scooter;express;central;hot;117.8;12.13;09/06/2024;3;no;delivered;5;675.39
722;DLV-00722;ecom express;pharmacy;ev bike;same day;north;cold;57.6;18.5;07/12/2024;4;no;delivered;5;443.5
723;DLV-00723;amazon logistics;automobile parts;ev bike;express;east;foggy;201.6;18.09;28/11/2024;8;yes;delayed;2;1112.27
724;DLV-00724;blue dart;fragile items;van;two day;east;clear;146.9;40.17;10/05/2024;3;no;delivered;4;855.01
725;DLV-00725;amazon logistics;fragile items;van;same day;south;clear;106.9;47.76;07/08/2024;3;no;delivered;3;777.78
726;DLV-00726;blue dart;documents;scooter;standard;north;stormy;70.6;4.97;21/08/2024;5;no;delivered;5;367.91
727;DLV-00727;xpressbees;clothing;ev van;express;central;clear;199.0;9.07;03/01/2024;5;no;delivered;4;1072.21
728;DLV-00728;delhivery;clothing;van;standard;north;hot;267.7;41.48;12/03/2024;8;no;delivered;5;1462.94
729;DLV-00729;fedex;clothing;ev bike;express;east;clear;195.6;38.02;17/08/2024;6;yes;delayed;2;1142.06
730;DLV-00730;shadowfax;pharmacy;van;two day;west;cold;123.3;31.01;04/07/2024;3;no;delivered;4;709.53
731;DLV-00731;xpressbees;pharmacy;truck;standard;east;cold;9.3;14.84;04/06/2024;2;no;delivered;3;95.6674
732;DLV-00732;dhl;fragile items;truck;express;west;foggy;237.3;11.28;19/03/2024;5;no;delivered;3;1270.34
733;DLV-00733;ecom express;electronics;van;standard;north;cold;157.9;47.16;29/04/2024;6;no;delivered;4;930.98
734;DLV-00734;xpressbees;documents;ev van;express;east;cold;20.6;12.58;29/12/2024;2;yes;delayed;3;190.74
735;DLV-00735;blue dart;cosmetics;van;two day;central;hot;218.5;13.98;14/01/2024;7;no;delivered;4;1134.44
736;DLV-00736;xpressbees;cosmetics;ev bike;two day;east;stormy;69.8;16.7;15/12/2024;5;no;delivered;3;399.1
737;DLV-00737;xpressbees;groceries;ev van;two day;central;rainy;90.4;34.31;04/10/2024;9;no;delivered;4;554.93
738;DLV-00738;dhl;clothing;van;express;east;foggy;195.7;27.92;28/12/2024;9;yes;delayed;3;1112.26
739;DLV-00739;xpressbees;furniture;scooter;express;south;foggy;57.4;36.98;25/02/2024;5;yes;failed;1;447.94
740;DLV-00740;ecom express;clothing;ev van;standard;east;cold;97.2;30.75;23/06/2024;2;no;delivered;5;578.25
741;DLV-00741;amazon logistics;furniture;ev bike;two day;south;stormy;209.6;37.45;12/05/2024;11;no;delivered;4;1160.35
742;DLV-00742;xpressbees;automobile parts;ev bike;two day;south;clear;95.3;43.62;24/09/2024;2;no;delivered;4;607.36
743;DLV-00743;shadowfax;clothing;ev van;express;east;clear;28.4;27.39;18/03/2024;1;no;delivered;5;274.17
744;DLV-00744;ekart;clothing;bike;same day;south;cold;30.9;12.68;20/03/2024;2;no;delivered;4;292.54
745;DLV-00745;amazon logistics;cosmetics;ev van;standard;north;foggy;162.8;20.27;23/01/2024;5;no;delivered;3;874.81
746;DLV-00746;dhl;electronics;bike;same day;south;stormy;297.1;8.08;19/03/2024;14;yes;delayed;2;1621.74
747;DLV-00747;fedex;automobile parts;bike;standard;north;cold;157.4;46.18;04/09/2024;6;no;delivered;3;925.54
748;DLV-00748;ekart;cosmetics;scooter;express;central;stormy;293.2;22.01;12/06/2024;11;yes;delayed;3;1582.03
749;DLV-00749;ekart;groceries;bike;express;central;foggy;272.1;41.81;27/11/2024;11;yes;delayed;3;1535.93
750;DLV-00750;blue dart;groceries;bike;two day;south;hot;263.3;47.06;04/05/2024;6;no;delivered;3;1457.68
751;DLV-00751;ecom express;groceries;bike;express;central;foggy;134.7;18.1;15/03/2024;8;yes;failed;1;777.8
752;DLV-00752;blue dart;groceries;van;standard;south;cold;170.0;6.57;23/04/2024;5;no;delivered;3;869.71
753;DLV-00753;delhivery;fragile items;van;standard;south;clear;190.9;39.09;12/07/2024;5;no;delivered;5;1071.77
754;DLV-00754;ecom express;fragile items;van;standard;east;cold;3.6;29.71;22/09/2024;1;no;delivered;4;107.13
755;DLV-00755;fedex;clothing;scooter;standard;central;clear;14.1;37.33;06/01/2024;2;no;delivered;3;182.49
756;DLV-00756;dhl;clothing;ev van;express;west;foggy;287.9;19.24;16/04/2024;11;yes;delayed;3;1547.22
757;DLV-00757;xpressbees;furniture;scooter;standard;west;rainy;132.5;0.67;09/08/2024;7;no;delivered;5;664.09
758;DLV-00758;dhl;pharmacy;van;same day;west;hot;250.9;39.8;21/09/2024;7;no;delivered;5;1473.9
759;DLV-00759;blue dart;cosmetics;bike;express;central;foggy;37.6;46.92;11/06/2024;4;yes;delayed;3;378.76
760;DLV-00760;xpressbees;documents;scooter;standard;west;hot;78.1;43.69;17/11/2024;4;no;delivered;4;521.57
761;DLV-00761;blue dart;furniture;scooter;same day;east;stormy;16.7;38.11;18/05/2024;6;no;delivered;5;297.83
762;DLV-00762;fedex;electronics;ev van;express;south;foggy;229.0;16.01;13/08/2024;12;yes;delayed;2;1243.03
763;DLV-00763;ecom express;furniture;scooter;same day;east;hot;78.3;13.96;17/04/2024;3;no;delivered;5;533.38
764;DLV-00764;ecom express;cosmetics;truck;same day;north;rainy;237.5;16.32;20/03/2024;9;yes;delayed;3;1336.46
765;DLV-00765;dhl;documents;truck;two day;west;rainy;233.9;31.22;31/03/2024;10;no;delivered;5;1263.16
766;DLV-00766;amazon logistics;documents;bike;same day;central;hot;31.8;36.96;19/12/2024;3;no;delivered;4;369.88
767;DLV-00767;shadowfax;furniture;van;express;north;cold;86.4;22.1;09/03/2024;4;yes;delayed;3;548.3
768;DLV-00768;fedex;fragile items;bike;standard;central;stormy;161.2;23.37;23/05/2024;7;no;delivered;5;876.11
769;DLV-00769;blue dart;pharmacy;scooter;standard;west;cold;242.2;29.54;02/02/2024;7;no;delivered;4;1299.62
770;DLV-00770;dhl;automobile parts;ev bike;same day;central;rainy;239.6;11.51;09/07/2024;12;yes;delayed;2;1332.53
771;DLV-00771;shadowfax;electronics;truck;standard;west;clear;162.2;48.48;09/10/2024;4;no;delivered;5;956.44
772;DLV-00772;ecom express;fragile items;van;express;central;cold;208.9;14.01;02/08/2024;7;yes;failed;1;1136.53
773;DLV-00773;delhivery;electronics;scooter;standard;west;hot;281.8;48.98;04/02/2024;10;no;delivered;3;1555.94
774;DLV-00774;xpressbees;documents;truck;express;south;foggy;123.8;5.43;27/04/2024;5;yes;delayed;2;685.29
775;DLV-00775;amazon logistics;groceries;ev van;two day;east;cold;40.2;28.66;28/01/2024;1;no;delivered;4;286.98
776;DLV-00776;ecom express;documents;ev van;standard;north;cold;41.7;42.69;24/06/2024;1;no;delivered;5;336.57
777;DLV-00777;dhl;automobile parts;scooter;two day;central;foggy;113.1;5.58;06/01/2024;6;no;delivered;4;582.24
778;DLV-00778;blue dart;automobile parts;ev bike;two day;west;clear;35.7;30.17;07/10/2024;1;no;delivered;4;269.01
779;DLV-00779;ekart;pharmacy;scooter;two day;east;stormy;264.4;6.21;17/03/2024;16;yes;delayed;2;1340.63
780;DLV-00780;amazon logistics;furniture;ev van;same day;west;cold;162.7;10.53;20/05/2024;6;no;delivered;4;945.09
781;DLV-00781;amazon logistics;cosmetics;van;standard;west;stormy;231.0;6.71;06/09/2024;12;no;delivered;4;1175.13
782;DLV-00782;shadowfax;cosmetics;ev bike;standard;south;foggy;297.1;18.49;04/05/2024;14;no;delivered;5;1545.97
783;DLV-00783;blue dart;furniture;truck;two day;west;rainy;121.8;13.12;23/05/2024;6;no;delivered;3;648.36
784;DLV-00784;blue dart;fragile items;ev bike;express;west;rainy;240.8;46.26;30/04/2024;10;yes;failed;1;1392.78
785;DLV-00785;fedex;clothing;ev van;express;west;hot;220.6;48.94;12/07/2024;5;no;delivered;4;1299.82
786;DLV-00786;shadowfax;documents;bike;standard;central;foggy;77.0;14.04;22/02/2024;5;no;delivered;4;427.12
787;DLV-00787;delhivery;electronics;ev van;standard;south;stormy;35.6;39.16;06/05/2024;6;no;delivered;4;295.48
788;DLV-00788;xpressbees;clothing;van;same day;north;stormy;4.0;38.97;21/12/2024;7;no;delivered;4;236.91
789;DLV-00789;fedex;clothing;bike;express;central;rainy;248.2;16.83;30/04/2024;9;yes;delayed;2;1341.49
790;DLV-00790;delhivery;pharmacy;van;same day;south;rainy;294.0;11.49;16/06/2024;12;yes;delayed;2;1604.47
